사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
19-Aug,1호선,150,서울역,1507352,1421506,221439,219533
19-Aug,1호선,151,시청,658385,674557,127161,127713
19-Aug,1호선,152,종각,1161269,1132416,168187,156128
19-Aug,1호선,153,종로3가,637266,610540,375401,349998
19-Aug,1호선,154,종로5가,504035,517198,277363,266205
19-Aug,1호선,155,동대문,296597,338306,131467,136020
19-Aug,1호선,156,신설동,345143,339328,120626,115032
19-Aug,1호선,157,제기동,268193,259146,332498,353671
19-Aug,1호선,158,청량리(서울시립대입구),418859,433044,324271,332377
19-Aug,1호선,159,동묘앞,168709,179960,140683,142918
19-Aug,2호선,201,시청,713319,670155,66925,61958
19-Aug,2호선,202,을지로입구,1431445,1431253,124622,114418
19-Aug,2호선,203,을지로3가,611173,612724,86958,85278
19-Aug,2호선,204,을지로4가,286456,288525,90350,87711
19-Aug,2호선,205,동대문역사문화공원,520100,602548,57671,61458
19-Aug,2호선,206,신당,338943,350575,101519,103707
19-Aug,2호선,207,상왕십리,360881,341438,68912,68927
19-Aug,2호선,208,왕십리(성동구청),513266,431984,59922,50534
19-Aug,2호선,209,한양대,220245,239227,13806,14639
19-Aug,2호선,210,뚝섬,506726,543537,61955,62399
19-Aug,2호선,211,성수,742113,815391,103998,105318
19-Aug,2호선,212,건대입구,1210659,1352243,95287,99257
19-Aug,2호선,213,구의(광진구청),611071,580097,107870,108723
19-Aug,2호선,214,강변(동서울터미널),1232046,1228106,144967,143117
19-Aug,2호선,215,잠실나루,379207,367478,86618,87354
19-Aug,2호선,216,잠실(송파구청),2438118,2347738,220196,211867
19-Aug,2호선,217,잠실새내,625977,642139,111671,111006
19-Aug,2호선,218,종합운동장,376538,420749,53439,56612
19-Aug,2호선,219,삼성(무역센터),1708053,1747484,128261,120761
19-Aug,2호선,220,선릉,1404626,1252157,219307,192472
19-Aug,2호선,221,역삼,1256240,1421597,162492,165018
19-Aug,2호선,222,강남,2966873,3053288,173739,156221
19-Aug,2호선,223,교대(법원.검찰청),914614,1031867,158220,176694
19-Aug,2호선,224,서초,590611,581665,86424,86075
19-Aug,2호선,225,방배,458108,473218,78493,77787
19-Aug,2호선,226,사당,1072440,1211442,204376,193594
19-Aug,2호선,227,낙성대,774723,730418,112063,114173
19-Aug,2호선,228,서울대입구(관악구청),1375517,1338079,203313,195710
19-Aug,2호선,229,봉천,600156,538680,161189,161620
19-Aug,2호선,230,신림,1861535,1791840,246353,250093
19-Aug,2호선,231,신대방,725020,682290,133909,135042
19-Aug,2호선,232,구로디지털단지,1685529,1685739,183741,186914
19-Aug,2호선,233,대림(구로구청),737695,761365,116303,120647
19-Aug,2호선,234,신도림,1513809,1513670,222246,210662
19-Aug,2호선,235,문래,506373,515464,85304,83813
19-Aug,2호선,236,영등포구청,540826,549052,102525,100391
19-Aug,2호선,237,당산,589143,646708,69699,74407
19-Aug,2호선,238,합정,958151,1034188,72506,73028
19-Aug,2호선,239,홍대입구,2390143,2604068,111755,109793
19-Aug,2호선,240,신촌,1244032,1288903,138992,136890
19-Aug,2호선,241,이대,491702,519101,54817,55303
19-Aug,2호선,242,아현,254265,238840,66033,65066
19-Aug,2호선,243,충정로(경기대입구),271297,289016,51511,51031
19-Aug,2호선,244,용답,60138,58976,17717,16961
19-Aug,2호선,245,신답,36965,40842,9710,10681
19-Aug,2호선,246,신설동,89140,82845,36488,38507
19-Aug,2호선,247,도림천,28413,30169,7405,7787
19-Aug,2호선,248,양천구청,159577,167967,46249,47771
19-Aug,2호선,249,신정네거리,223619,231575,71191,73408
19-Aug,2호선,250,용두(동대문구청),48157,48893,24229,25278
19-Aug,3호선,309,지축,25673,26233,10402,12406
19-Aug,3호선,310,구파발,552474,524807,125766,120022
19-Aug,3호선,311,연신내,970476,908937,282465,273617
19-Aug,3호선,312,불광,404763,444003,155014,171508
19-Aug,3호선,313,녹번,345408,290837,71099,69041
19-Aug,3호선,314,홍제,412446,383166,147011,146777
19-Aug,3호선,315,무악재,89003,88851,31955,34014
19-Aug,3호선,316,독립문,194218,194433,76186,75096
19-Aug,3호선,317,경복궁(정부서울청사),633019,645695,96914,87761
19-Aug,3호선,318,안국,627728,658831,108396,115178
19-Aug,3호선,319,종로3가,263575,347367,65813,73211
19-Aug,3호선,320,을지로3가,274882,293202,58845,57278
19-Aug,3호선,321,충무로,47,0,2,0
19-Aug,3호선,322,동대입구,269602,298688,35592,36778
19-Aug,3호선,323,약수,333709,322080,88052,84911
19-Aug,3호선,324,금호,199702,180356,57087,56138
19-Aug,3호선,325,옥수,235196,245100,61072,61125
19-Aug,3호선,326,압구정,859651,935086,141082,138853
19-Aug,3호선,327,신사,930551,1016349,73758,71548
19-Aug,3호선,328,잠원,150920,145365,37649,36568
19-Aug,3호선,329,고속터미널,1752188,1665687,205600,197125
19-Aug,3호선,330,교대(법원.검찰청),363126,236897,68112,42000
19-Aug,3호선,331,남부터미널(예술의전당),924285,944825,124165,124916
19-Aug,3호선,332,양재(서초구청),993668,1085291,162387,163218
19-Aug,3호선,333,매봉,272560,263109,58408,52851
19-Aug,3호선,334,도곡,136148,141592,24145,21016
19-Aug,3호선,335,대치,333838,314407,62421,60042
19-Aug,3호선,336,학여울,64996,66667,15228,15043
19-Aug,3호선,337,대청,245983,217051,57299,54260
19-Aug,3호선,338,일원,225858,231652,64649,65288
19-Aug,3호선,339,수서,442135,438738,105059,102984
19-Aug,3호선,340,가락시장,211580,204248,77067,74805
